date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:04:56	107443/107443	---M-Z	200	added ('OK')	text/html	date:Fri,%2012%20Jul%202024%2004:34:56%20GMT	https://www.miniorange.com/iam/content-library/admin-docs/manage-groups	E:/Destop/Coding/HTTrack/documentation/www.miniorange.com/iam/content-library/admin-docs/manage-groups.html	(from https://www.miniorange.com/iam/content-library/)
10:04:56	102510/102510	---M-Z	200	added ('OK')	text/html	date:Fri,%2012%20Jul%202024%2004:34:56%20GMT	https://www.miniorange.com/iam/content-library/admin-docs/branding-and-customization	E:/Destop/Coding/HTTrack/documentation/www.miniorange.com/iam/content-library/admin-docs/branding-and-customization.html	(from https://www.miniorange.com/iam/content-library/)
10:04:57	93999/93999	---M-Z	200	added ('OK')	text/html	date:Fri,%2012%20Jul%202024%2004:34:57%20GMT	https://www.miniorange.com/iam/content-library/datasheets	E:/Destop/Coding/HTTrack/documentation/www.miniorange.com/iam/content-library/datasheets.html	(from https://www.miniorange.com/iam/content-library/)
10:04:58	2202/2202	---M--	200	added ('OK')	application/javascript	etag:%2289a-61b3be3ed1593%22	https://www.miniorange.com/js/datasheet-popup.min.js?ver=0.3	E:/Destop/Coding/HTTrack/documentation/www.miniorange.com/js/datasheet-popup.minf748.js	(from https://www.miniorange.com/iam/content-library/)
10:05:02	92712/92712	---M--	200	added ('OK')	application/javascript	etag:%2216a28-60b7048a9818d%22	https://www.miniorange.com/js/jquery.min.js	E:/Destop/Coding/HTTrack/documentation/www.miniorange.com/js/jquery.min.js	(from https://www.miniorange.com/iam/content-library/)
10:05:02	37608/37608	---MCZ	200	added ('OK')	application/javascript	etag:W/%223d8308804264c5b751f6e54734c46897%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.4.0/js/bootstrap.min.js	E:/Destop/Coding/HTTrack/documentation/maxcdn.bootstrapcdn.com/bootstrap/3.4.0/js/bootstrap.min.js	(from https://www.miniorange.com/iam/content-library/)
10:05:02	70165/70165	---M--	200	added ('OK')	image/gif	etag:%2211215-5fbf2463625b0%22	https://www.miniorange.com/images/free-trial/ajax-loader4.gif	E:/Destop/Coding/HTTrack/documentation/www.miniorange.com/images/free-trial/ajax-loader4.gif	(from https://www.miniorange.com/iam/content-library/)
10:05:02	2444/2444	---M--	200	added ('OK')	application/javascript	etag:%2298c-60b7048a40351%22	https://www.miniorange.com/js/bootstrap-scrollspy.min.js	E:/Destop/Coding/HTTrack/documentation/www.miniorange.com/js/bootstrap-scrollspy.min.js	(from https://www.miniorange.com/iam/content-library/)
10:05:03	547/547	---M--	200	added ('OK')	application/javascript	etag:%22223-5eceef50ed3eb%22	https://www.miniorange.com/js/image-enlarge.min.js	E:/Destop/Coding/HTTrack/documentation/www.miniorange.com/js/image-enlarge.min.js	(from https://www.miniorange.com/iam/content-library/)
10:05:03	6731/6731	---M--	200	added ('OK')	application/javascript	etag:%221a4b-61a99fb6c0d1a%22	https://www.miniorange.com/js/support-form.min.js?ver=3.2	E:/Destop/Coding/HTTrack/documentation/www.miniorange.com/js/support-form.mincf1b.js	(from https://www.miniorange.com/iam/content-library/)
10:05:04	761/761	---M--	200	added ('OK')	application/javascript	etag:%222f9-5eceef50ed3eb%22	https://www.miniorange.com/js/responsive.min.js	E:/Destop/Coding/HTTrack/documentation/www.miniorange.com/js/responsive.min.js	(from https://www.miniorange.com/iam/content-library/)
10:05:04	1688/1688	---M--	200	added ('OK')	application/javascript	etag:%22698-61b5052e33953%22	https://www.miniorange.com/js/right_nav.min.js?ver=0.5	E:/Destop/Coding/HTTrack/documentation/www.miniorange.com/js/right_nav.min6a79.js	(from https://www.miniorange.com/iam/content-library/)
10:05:06	29110/29110	---M--	200	added ('OK')	application/javascript	etag:%2271b6-5eceef50f126a%22	https://www.miniorange.com/js/bootstrap.min.js	E:/Destop/Coding/HTTrack/documentation/www.miniorange.com/js/bootstrap.min.js	(from https://www.miniorange.com/iam/content-library/)
10:05:06	9136/9136	---M--	200	added ('OK')	application/javascript	etag:%2223b0-60b704894effa%22	https://www.miniorange.com/js/holder.min.js	E:/Destop/Coding/HTTrack/documentation/www.miniorange.com/js/holder.min.js	(from https://www.miniorange.com/iam/content-library/)
10:05:07	17890/17890	---M--	200	added ('OK')	application/javascript	etag:%2245e2-5eceef50f02cb%22	https://www.miniorange.com/js/intlTelInput.min.js	E:/Destop/Coding/HTTrack/documentation/www.miniorange.com/js/intlTelInput.min.js	(from https://www.miniorange.com/iam/content-library/)
10:05:07	2202/2202	---M--	200	added ('OK')	application/javascript	etag:%2289a-61b3be3ed1593%22	https://www.miniorange.com/js/datasheet-popup.min.js?ver=0.2	E:/Destop/Coding/HTTrack/documentation/www.miniorange.com/js/datasheet-popup.minac28.js	(from https://www.miniorange.com/iam/content-library/)
10:05:11	15277/15277	---M--	200	added ('OK')	image/png	etag:%223bad-5eceeef1d393d%22	https://www.miniorange.com/images/sprite.png	E:/Destop/Coding/HTTrack/documentation/www.miniorange.com/images/sprite.png	(from https://www.miniorange.com/css/style.min.css?ver=6.7)
10:05:11	1238/1238	---M--	200	added ('OK')	image/png	etag:%224d6-5eceeef3e7cda%22	https://www.miniorange.com/images/header_bg.png	E:/Destop/Coding/HTTrack/documentation/www.miniorange.com/images/header_bg.png	(from https://www.miniorange.com/css/style.min.css?ver=6.7)
10:05:12	63284/63284	---M--	200	added ('OK')	image/png	etag:%22f734-5eceeef41d83a%22	https://www.miniorange.com/images/flags16.png	E:/Destop/Coding/HTTrack/documentation/www.miniorange.com/images/flags16.png	(from https://www.miniorange.com/css/telephone.css?ver=1.2)
10:05:12	17558/17558	---M--	200	added ('OK')	image/png	etag:%224496-5eceeef2c3cfc%22	https://www.miniorange.com/images/ben_1.png	E:/Destop/Coding/HTTrack/documentation/www.miniorange.com/images/ben_1.png	(from https://www.miniorange.com/css/style.min.css?ver=6.7)
